pilot_id,fact_id,claim_text,final_routing_class,temporal_class,source_route,allowed_source_types,required_temporal_fields,source_query_template_1,source_query_template_2,intake_status,evidence_verified,model_b_merge_allowed
M3A-PILOT-038,BCSGK-0557,১৯৭৪ সালে সর্বপ্রথম সাদা পোশাকে স্পেশাল ব্র্যাঞ্চে ১২ জন মহিলা পুলিশ নিয়োগ করা হয়। ইউনিফর্মধারী নারী পুলিশের যাত্রা শুরু হয় ১৯৭৬ সালে। অতঃপর ১৯৭৮ সালে ঢাকা মহানগর পুলিশে মহিলা নিয়োগ করা হয়।,dynamic_officeholder,dynamic,official_appointment_or_gazette,official_gazette_pdf;appointment_notice;archived_official_page,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""১৯৭৪ সালে সর্বপ্রথম সাদা পোশাকে স্পেশাল ব্র্যাঞ্চে ১২ জন মহিলা পুলিশ নিয়োগ করা হয়। ইউনিফর্মধারী নারী পুলিশের যাত্রা শুরু হয় ১৯৭৬ সালে। অত"" pre-cutoff official appointment or gazette","""১৯৭৪ সালে সর্বপ্রথম সাদা পোশাকে স্পেশাল ব্র্যাঞ্চে ১২ জন মহিলা পুলিশ নিয়োগ করা হয়। ইউনিফ"" official source 2023-04-19",not_started,false,false
M3A-PILOT-039,BCSGK-0071,The Ganges Water Treaty between Bangladesh and India was signed in 1996 for sharing Ganges waters at Farakka.,dynamic_policy_legal,dynamic,legal_or_policy_document,official_gazette_pdf;law_or_code;ministry_notification;treaty_document,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""The Ganges Water Treaty between Bangladesh and India was signed in 1996 for sharing Ganges waters at Farakka."" pre-cutoff legal or policy document","""The Ganges Water Treaty between Bangladesh and India was signed in 1996 for sharing Ganges"" official source 2023-04-19",not_started,false,false
M3A-PILOT-040,BCSGK-0073,The Chittagong Hill Tracts Peace Accord was signed on 2 December 1997 between the government and the Parbatya Chattagram Jana Samhati Samiti.,dynamic_policy_legal,dynamic,legal_or_policy_document,official_gazette_pdf;law_or_code;ministry_notification;treaty_document,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""The Chittagong Hill Tracts Peace Accord was signed on 2 December 1997 between the government and the Parbatya Chattagram Jana Samhati Samiti"" pre-cutoff legal or policy document","""The Chittagong Hill Tracts Peace Accord was signed on 2 December 1997 between the governme"" official source 2023-04-19",not_started,false,false
M3A-PILOT-041,BCSGK-0331,দেশের মৎস্য সম্পদ সংরক্ষণের নিমিত্তে বাংলাদেশের মৎস্য আইনে ২৩ সেন্টিমিটারের (প্রায় ৯ ইঞ্চি) কম দৈর্ঘ্যের রুই জাতীয় মাছের পোনা মারা এবং ২৫ সেন্টিমিটারের (প্রায় ১০ ইঞ্চি) কম দৈর্ঘ্যের ইলিশ (জাটকা) ধরা নিষেধ।,dynamic_policy_legal,dynamic,legal_or_policy_document,official_gazette_pdf;law_or_code;ministry_notification;treaty_document,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""দেশের মৎস্য সম্পদ সংরক্ষণের নিমিত্তে বাংলাদেশের মৎস্য আইনে ২৩ সেন্টিমিটারের (প্রায় ৯ ইঞ্চি) কম দৈর্ঘ্যের রুই জাতীয় মাছের পোনা মারা এবং ২৫ "" pre-cutoff legal or policy document","""দেশের মৎস্য সম্পদ সংরক্ষণের নিমিত্তে বাংলাদেশের মৎস্য আইনে ২৩ সেন্টিমিটারের (প্রায় ৯ ইঞ্চ"" official source 2023-04-19",not_started,false,false
M3A-PILOT-042,BCSGK-0370,"পার্বত্য চট্টগ্রাম শান্তিচুক্তি ২ ডিসেম্বর, ১৯৯৭ সালে স্বাক্ষরিত হয়।",dynamic_policy_legal,dynamic,legal_or_policy_document,official_gazette_pdf;law_or_code;ministry_notification;treaty_document,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""পার্বত্য চট্টগ্রাম শান্তিচুক্তি ২ ডিসেম্বর, ১৯৯৭ সালে স্বাক্ষরিত হয়।"" pre-cutoff legal or policy document","""পার্বত্য চট্টগ্রাম শান্তিচুক্তি ২ ডিসেম্বর, ১৯৯৭ সালে স্বাক্ষরিত হয়।"" official source 2023-04-19",not_started,false,false
M3A-PILOT-043,BCSGK-0374,"ঢাকা বিশ্ববিদ্যালয় বিল ১৮ মার্চ, ১৯২০ সালে আইনে পরিণত হয় এবং উক্ত আইনের অধীনে ১৯২১ সালের ১লা জুলাই কার্যক্রম শুরু হয়।",dynamic_policy_legal,dynamic,legal_or_policy_document,official_gazette_pdf;law_or_code;ministry_notification;treaty_document,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""ঢাকা বিশ্ববিদ্যালয় বিল ১৮ মার্চ, ১৯২০ সালে আইনে পরিণত হয় এবং উক্ত আইনের অধীনে ১৯২১ সালের ১লা জুলাই কার্যক্রম শুরু হয়।"" pre-cutoff legal or policy document","""ঢাকা বিশ্ববিদ্যালয় বিল ১৮ মার্চ, ১৯২০ সালে আইনে পরিণত হয় এবং উক্ত আইনের অধীনে ১৯২১ সালের"" official source 2023-04-19",not_started,false,false
M3A-PILOT-044,BCSGK-0403,বাংলাদেশের অর্থনৈতিক উন্নয়ন প্রকল্প ও নীতি অনুমোদনের ক্ষেত্রে কাঠামোগত স্তরবিন্যাস অনুযায়ী ECNEC-ই হলো চূড়ান্ত ও সর্বোচ্চ নির্বাহী কর্তৃপক্ষ। ECNEC (Executive Committee of the National Economic Council) উন্নয়ন প্রকল্পগুলোর চূড়ান্ত অনুমোদন এখান থেকেই আসে।,dynamic_policy_legal,dynamic,legal_or_policy_document,official_gazette_pdf;law_or_code;ministry_notification;treaty_document,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""বাংলাদেশের অর্থনৈতিক উন্নয়ন প্রকল্প ও নীতি অনুমোদনের ক্ষেত্রে কাঠামোগত স্তরবিন্যাস অনুযায়ী ECNEC-ই হলো চূড়ান্ত ও সর্বোচ্চ নির্বাহী কর্তৃপ"" pre-cutoff legal or policy document","""বাংলাদেশের অর্থনৈতিক উন্নয়ন প্রকল্প ও নীতি অনুমোদনের ক্ষেত্রে কাঠামোগত স্তরবিন্যাস অনুযায"" official source 2023-04-19",not_started,false,false
M3A-PILOT-045,BCSGK-0405,"২৫ ফেব্রুয়ারি, ২০২০ জাতীয় অর্থনৈতিক পরিষদে (NEC) দ্বিতীয় প্রেক্ষিত পরিকল্পনা গৃহীত হয়। এর মেয়াদ ২০২১-২০৪১। এটি তৈরি করেছে সাধারণ অর্থনীতি বিভাগ (GED)। প্রথম প্রেক্ষিত পরিকল্পনার মেয়াদকাল ছিল ২০১০-২০২১।",dynamic_policy_legal,dynamic,legal_or_policy_document,official_gazette_pdf;law_or_code;ministry_notification;treaty_document,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""২৫ ফেব্রুয়ারি, ২০২০ জাতীয় অর্থনৈতিক পরিষদে (NEC) দ্বিতীয় প্রেক্ষিত পরিকল্পনা গৃহীত হয়। এর মেয়াদ ২০২১-২০৪১। এটি তৈরি করেছে সাধারণ অর্থনী"" pre-cutoff legal or policy document","""২৫ ফেব্রুয়ারি, ২০২০ জাতীয় অর্থনৈতিক পরিষদে (NEC) দ্বিতীয় প্রেক্ষিত পরিকল্পনা গৃহীত হয়।"" official source 2023-04-19",not_started,false,false
M3A-PILOT-046,BCSGK-0032,"Bangladesh is the world's second-largest garment exporter after China, with RMG exports exceeding $40 billion in 2023.",dynamic_statistical,dynamic,bbs_or_official_statistical_report,official_statistical_report;central_bank_report;annual_report,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""Bangladesh is the world's second-largest garment exporter after China, with RMG exports exceeding $40 billion in 2023."" pre-cutoff bbs or official statistical report","""Bangladesh is the world's second-largest garment exporter after China, with RMG exports ex"" official source 2023-04-19",not_started,false,false
M3A-PILOT-047,BCSGK-0034,"Bangladesh is the world's largest producer of jute, supplying over 33% of global jute output.",dynamic_statistical,dynamic,bbs_or_official_statistical_report,official_statistical_report;central_bank_report;annual_report,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""Bangladesh is the world's largest producer of jute, supplying over 33% of global jute output."" pre-cutoff bbs or official statistical report","""Bangladesh is the world's largest producer of jute, supplying over 33% of global jute outp"" official source 2023-04-19",not_started,false,false
M3A-PILOT-048,BCSGK-0039,Bangladesh achieved lower-middle income country status in 2015 according to World Bank classification.,dynamic_statistical,dynamic,bbs_or_official_statistical_report,official_statistical_report;central_bank_report;annual_report,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""Bangladesh achieved lower-middle income country status in 2015 according to World Bank classification."" pre-cutoff bbs or official statistical report","""Bangladesh achieved lower-middle income country status in 2015 according to World Bank cla"" official source 2023-04-19",not_started,false,false
M3A-PILOT-049,BCSGK-0070,"বাংলাদেশ ওআইসি (ইসলামী সহযোগিতা সংস্থা)-এর সদস্য, যা ৫৭টি মুসলিম-সংখ্যাগরিষ্ঠ দেশের সংগঠন।",dynamic_award_or_membership,dynamic,official_award_or_membership_record,official_award_record;treaty_document;official_gazette_pdf,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""বাংলাদেশ ওআইসি (ইসলামী সহযোগিতা সংস্থা)-এর সদস্য, যা ৫৭টি মুসলিম-সংখ্যাগরিষ্ঠ দেশের সংগঠন।"" pre-cutoff official award or membership record","""বাংলাদেশ ওআইসি (ইসলামী সহযোগিতা সংস্থা)-এর সদস্য, যা ৫৭টি মুসলিম-সংখ্যাগরিষ্ঠ দেশের সংগঠন।"" official source 2023-04-19",not_started,false,false
M3A-PILOT-050,BCSGK-0116,বাংলাদেশ ২০২৪ সালে জাতিসংঘ মানবাধিকার পরিষদের সদস্য নির্বাচিত হয়।,dynamic_award_or_membership,dynamic,official_award_or_membership_record,official_award_record;treaty_document;official_gazette_pdf,temporal_evidence_date;supporting_excerpt;content_hash_sha256;valid_from;valid_to,"""বাংলাদেশ ২০২৪ সালে জাতিসংঘ মানবাধিকার পরিষদের সদস্য নির্বাচিত হয়।"" pre-cutoff official award or membership record","""বাংলাদেশ ২০২৪ সালে জাতিসংঘ মানবাধিকার পরিষদের সদস্য নির্বাচিত হয়।"" official source 2023-04-19",not_started,false,false
